seed,policy,sessions,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,avg_budget_spent,tool_calls_per_decision,multi_tool_decision_rate,invalid_action_rate,agent_actions_per_decision,tool_mix,selected_source_share
43,learned_masked_grpo_sample,120,11.960833,11.405667,17.975,3.558333,0.555167,0.616134,0.180343,0.0,1.616134,"{""diversity_search"": 0.433409, ""fatigue_scan"": 0.440933, ""preference_probe"": 0.125658}","{""baseline"": 0.613815, ""diversity_search"": 0.107557, ""fatigue_scan"": 0.222068, ""preference_probe"": 0.05656}"
44,stop_and_serve,120,2.7275,2.7275,7.558333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
44,fatigue_then_serve,120,12.580833,11.980833,18.275,2.375,0.6,0.656635,0.0,0.0,1.656635,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.454172, ""fatigue_scan"": 0.545828}"
44,preference_then_serve,120,6.685833,6.085833,12.225,2.208333,0.6,0.408998,0.0,0.0,1.408998,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.648262, ""preference_probe"": 0.351738}"
44,budgeted_rule,120,15.8775,15.387583,19.975,3.75,0.489917,0.607843,0.0,0.0,1.607843,"{""diversity_search"": 0.482498, ""fatigue_scan"": 0.517502, ""preference_probe"": 0.0}","{""baseline"": 0.470588, ""diversity_search"": 0.215686, ""fatigue_scan"": 0.313725}"
44,oracle_one_step,120,16.811667,16.265667,19.966667,5.175,0.546,0.75626,0.0,0.0,1.75626,"{""diversity_search"": 0.692053, ""fatigue_scan"": 0.307947, ""preference_probe"": 0.0}","{""baseline"": 0.24374, ""diversity_search"": 0.523372, ""fatigue_scan"": 0.232888}"
44,random_unmasked,120,9.491667,6.910417,15.75,3.558333,0.589583,0.588889,0.171958,0.614159,4.117989,"{""diversity_search"": 0.365678, ""fatigue_scan"": 0.336029, ""preference_probe"": 0.298293}","{""baseline"": 0.639153, ""diversity_search"": 0.112169, ""fatigue_scan"": 0.136508, ""preference_probe"": 0.112169}"
44,learned_masked_grpo_argmax,120,2.7275,2.7275,7.558333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
44,learned_masked_grpo_sample,120,11.465,10.8905,17.766667,3.875,0.5745,0.586304,0.172608,0.0,1.586304,"{""diversity_search"": 0.4648, ""fatigue_scan"": 0.3288, ""preference_probe"": 0.2064}","{""baseline"": 0.640244, ""diversity_search"": 0.133208, ""fatigue_scan"": 0.141182, ""preference_probe"": 0.085366}"
45,stop_and_serve,120,2.726667,2.726667,7.566667,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
45,fatigue_then_serve,120,12.5725,11.9725,18.275,2.375,0.6,0.656635,0.0,0.0,1.656635,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.454172, ""fatigue_scan"": 0.545828}"
45,preference_then_serve,120,6.701667,6.101667,12.233333,2.208333,0.6,0.408719,0.0,0.0,1.408719,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.64782, ""preference_probe"": 0.35218}"
45,budgeted_rule,120,15.8525,15.362833,19.975,3.75,0.489667,0.607426,0.0,0.0,1.607426,"{""diversity_search"": 0.482143, ""fatigue_scan"": 0.517857, ""preference_probe"": 0.0}","{""baseline"": 0.471005, ""diversity_search"": 0.215269, ""fatigue_scan"": 0.313725}"
45,oracle_one_step,120,16.82,16.275083,19.966667,5.166667,0.544917,0.754174,0.0,0.0,1.754174,"{""diversity_search"": 0.690647, ""fatigue_scan"": 0.309353, ""preference_probe"": 0.0}","{""baseline"": 0.245826, ""diversity_search"": 0.520868, ""fatigue_scan"": 0.233306}"
